tecnica,lote,tentativa,ambiente,sucesso,tempo_s,falha_motivo
keychain,3,4,sim,1,0.111,
keychain,3,5,sim,1,0.111,
keychain,3,6,sim,1,0.107,
keychain,3,7,sim,1,0.103,
keychain,3,8,sim,1,0.107,
keychain,3,9,sim,1,0.117,
keychain,3,10,sim,1,0.081,
keychain,3,11,sim,1,0.119,
keychain,3,12,sim,1,0.117,
keychain,3,13,sim,1,0.105,
keychain,3,14,sim,1,0.12,
keychain,3,15,sim,1,0.111,
keychain,3,16,sim,1,0.111,
keychain,3,17,sim,1,0.107,
keychain,3,18,sim,1,0.115,
keychain,3,19,sim,1,0.106,
keychain,3,20,sim,1,0.116,
keychain,3,21,sim,1,0.119,
keychain,3,22,sim,1,0.107,
keychain,3,23,sim,1,0.112,
keychain,3,24,sim,1,0.117,
keychain,3,25,sim,1,0.095,
keychain,3,26,sim,1,0.099,
keychain,3,27,sim,1,0.108,
keychain,3,28,sim,1,0.108,
keychain,3,29,sim,1,0.114,
keychain,3,30,sim,1,0.106,
cripto,1,1,sim,1,0.11,
cripto,1,2,sim,1,0.104,
cripto,1,3,sim,1,0.108,
cripto,1,4,sim,1,0.118,
cripto,1,5,sim,1,0.107,
cripto,1,6,sim,1,0.117,
cripto,1,7,sim,1,0.11,
cripto,1,8,sim,1,0.105,
cripto,1,9,sim,1,0.091,
cripto,1,10,sim,1,0.082,
cripto,1,11,sim,1,0.115,
cripto,1,12,sim,1,0.11,
cripto,1,13,sim,1,0.113,
cripto,1,14,sim,1,0.107,
cripto,1,15,sim,1,0.106,
cripto,1,16,sim,1,0.094,
cripto,1,17,sim,1,0.117,
cripto,1,18,sim,1,0.119,
cripto,1,19,sim,1,0.103,
cripto,1,20,sim,1,0.091,
cripto,1,21,sim,1,0.084,
cripto,1,22,sim,1,0.114,
cripto,1,23,sim,1,0.106,
cripto,1,24,sim,1,0.095,
cripto,1,25,sim,1,0.109,
cripto,1,26,sim,1,0.106,
cripto,1,27,sim,1,0.109,
cripto,1,28,sim,1,0.109,
cripto,1,29,sim,1,0.106,
cripto,1,30,sim,1,0.117,
cripto,2,1,sim,1,0.107,
cripto,2,2,sim,1,0.069,
cripto,2,3,sim,1,0.103,
cripto,2,4,sim,1,0.108,
cripto,2,5,sim,1,0.106,
cripto,2,6,sim,1,0.107,
cripto,2,7,sim,1,0.1,
cripto,2,8,sim,1,0.103,
cripto,2,9,sim,1,0.114,
cripto,2,10,sim,1,0.106,
cripto,2,11,sim,1,0.106,
cripto,2,12,sim,1,0.096,
cripto,2,13,sim,1,0.106,
cripto,2,14,sim,1,0.104,
cripto,2,15,sim,1,0.109,
cripto,2,16,sim,1,0.097,
cripto,2,17,sim,1,0.106,
cripto,2,18,sim,1,0.108,
cripto,2,19,sim,1,0.106,
cripto,2,20,sim,1,0.105,
cripto,2,21,sim,1,0.096,
cripto,2,22,sim,1,0.108,
cripto,2,23,sim,1,0.106,
cripto,2,24,sim,1,0.109,
cripto,2,25,sim,1,0.107,
cripto,2,26,sim,1,0.103,
cripto,2,27,sim,1,0.115,
cripto,2,28,sim,1,0.098,
cripto,2,29,sim,1,0.113,
cripto,2,30,sim,1,0.112,
cripto,3,1,sim,1,0.11,
cripto,3,2,sim,1,0.115,
cripto,3,3,sim,1,0.111,
cripto,3,4,sim,1,0.09,
cripto,3,5,sim,1,0.117,
cripto,3,6,sim,1,0.117,
cripto,3,7,sim,1,0.112,
cripto,3,8,sim,1,0.089,
cripto,3,9,sim,1,0.119,
cripto,3,10,sim,1,0.097,
cripto,3,11,sim,1,0.107,
cripto,3,12,sim,1,0.105,
cripto,3,13,sim,1,0.115,
cripto,3,14,sim,1,0.116,
cripto,3,15,sim,1,0.105,
cripto,3,16,sim,1,0.11,
cripto,3,17,sim,1,0.117,
cripto,3,18,sim,1,0.076,
cripto,3,19,sim,1,0.104,
cripto,3,20,sim,1,0.112,
cripto,3,21,sim,1,0.113,
cripto,3,22,sim,1,0.109,
cripto,3,23,sim,1,0.117,
cripto,3,24,sim,1,0.104,
cripto,3,25,sim,1,0.114,
cripto,3,26,sim,1,0.098,
cripto,3,27,sim,1,0.107,
cripto,3,28,sim,1,0.105,
cripto,3,29,sim,1,0.108,
cripto,3,30,sim,1,0.115,
