tecnica,lote,tentativa,ambiente,sucesso,tempo_s,falha_motivo
ssl,1,1,sim,1,0.15,
ssl,1,2,sim,1,0.113,
ssl,1,3,sim,1,0.124,
ssl,1,4,sim,1,0.122,
ssl,1,5,sim,1,0.121,
ssl,1,6,sim,1,0.112,
ssl,1,7,sim,1,0.098,
ssl,1,8,sim,1,0.117,
ssl,1,9,sim,1,0.123,
ssl,1,10,sim,1,0.122,
